SELECT,SEND_HELLO,RECEIVE_HELLO,RANGE,CERT,AUTH,FINISH,PARALLEL_RANGING,TOTAL
78.84,69.92,0.27,7.61,61.01,62.20,0.15,23.48,280.00,
26.48,60.21,0.25,4.96,53.25,43.40,0.08,27.63,188.64,
37.04,56.16,0.16,3.26,56.92,45.16,0.17,38.48,198.88,
36.93,58.10,0.22,5.12,52.30,45.97,0.13,24.96,198.78,
34.08,54.87,0.31,4.35,56.57,47.68,0.20,24.91,198.07,
28.15,62.48,0.36,4.88,50.57,45.48,0.18,36.59,192.10,
36.68,60.54,0.28,5.80,58.90,46.11,0.18,24.74,208.48,
32.72,59.29,0.48,5.41,55.34,48.80,0.51,27.41,202.55,
37.13,54.99,0.34,5.80,56.11,46.59,0.26,38.46,201.22,
27.83,56.06,0.36,4.77,56.02,47.09,0.28,28.77,192.42,
40.06,56.58,0.38,5.22,57.38,51.14,0.39,26.04,211.14,
31.86,57.70,0.36,4.17,57.14,48.78,0.30,39.78,200.30,
27.80,56.17,0.26,3.53,59.76,48.37,0.26,27.10,196.16,
35.45,58.93,0.37,4.33,52.95,41.95,0.24,25.61,194.22,
23.68,45.23,0.34,5.97,55.46,51.71,0.26,39.64,182.65,
34.61,58.54,0.40,4.58,70.00,44.50,0.23,27.40,212.86,
27.68,57.64,0.27,3.94,55.81,47.18,0.24,27.15,192.77,
27.93,59.00,0.38,4.57,53.74,47.31,0.27,40.55,193.20,
26.90,58.89,0.39,4.32,54.34,46.25,0.22,28.46,191.31,
32.26,67.89,0.66,7.43,51.45,47.66,0.40,28.44,207.75,
27.19,56.17,0.31,4.46,58.99,52.91,0.24,38.56,200.27,
35.38,53.00,0.42,4.58,56.85,45.87,0.20,26.81,196.31,
32.55,53.55,0.46,4.13,58.18,42.20,0.14,26.15,191.22,
31.83,56.88,0.32,4.55,57.00,50.31,0.25,39.11,201.15,
28.16,53.48,0.31,4.93,60.97,49.15,0.28,25.20,197.28,
33.01,62.83,0.33,4.13,52.91,46.73,0.23,27.60,200.16,
26.53,58.66,0.35,4.93,57.17,49.27,0.21,41.67,197.11,
36.44,58.01,0.46,4.27,54.12,56.25,0.39,25.37,209.95,
34.10,55.41,0.45,5.23,55.87,44.76,0.27,26.96,196.09,
30.25,57.64,0.35,6.31,52.76,47.14,0.23,38.08,194.69,
30.07,60.42,0.38,5.33,56.56,53.96,0.22,28.65,206.93,
38.44,59.59,0.40,4.86,53.52,45.97,0.25,27.38,203.03,
30.10,58.84,0.33,5.13,63.55,53.70,0.10,36.88,211.76,
27.94,56.72,0.32,5.21,55.61,44.35,0.47,25.89,190.63,
28.89,47.25,0.33,4.27,58.00,48.30,0.26,28.28,187.29,
38.16,46.05,0.26,4.48,53.00,46.19,0.23,35.62,188.37,
33.10,58.28,0.30,5.06,54.11,47.14,0.25,29.34,198.24,
