SEL1,SEL2,GPO,RR1,RR2,RR3,RR4,GEN_AC,SEL1_MOD,SEL2_MOD,GPO_MOD,RR1_MOD,RR2_MOD,RR3_MOD,RR4_MOD,GEN_AC_MOD,RANGING
112.68,31.31,96.34,52.06,19.74,43.27,50.22,124.48,14.31,0.41,63.02,5.27,0.58,0.67,0.85,74.36,35.15
27.00,25.26,61.25,47.94,18.73,40.87,49.22,92.64,0.38,0.44,41.02,6.77,1.26,1.53,2.00,43.03,25.85
32.04,29.46,62.00,44.29,18.00,43.06,49.61,91.11,0.43,0.28,40.57,3.59,0.53,1.02,1.32,41.61,27.31
28.82,25.92,61.66,47.37,17.39,42.73,51.46,88.61,0.48,0.38,40.20,4.16,0.51,0.96,1.21,39.91,38.02
27.76,28.58,60.50,49.55,17.77,42.05,50.15,83.79,0.50,0.76,40.13,3.92,0.45,0.85,1.14,35.83,26.92
29.66,29.33,65.67,47.30,21.04,46.05,55.04,94.99,0.39,0.39,42.59,4.33,0.75,0.92,2.40,43.49,26.41
29.49,27.86,60.29,48.60,20.61,46.30,53.57,91.27,0.37,0.36,40.13,3.65,0.57,0.68,1.44,43.03,37.37
28.12,27.77,67.50,46.15,20.30,43.16,55.04,93.28,0.36,0.30,41.34,3.68,0.63,0.75,1.32,39.43,27.46
27.50,27.95,65.01,44.63,19.22,43.57,53.74,86.40,0.32,0.39,42.44,2.21,0.40,0.76,1.08,37.75,29.32
30.95,29.61,68.04,50.83,20.04,45.12,48.61,89.58,0.39,0.39,44.67,3.66,0.48,0.80,0.82,38.67,39.75
32.18,26.91,64.06,53.83,24.67,45.37,55.38,86.91,0.42,0.19,41.45,7.60,0.79,0.89,1.15,37.24,28.69
28.88,28.08,70.39,52.54,19.79,44.10,56.30,93.74,0.35,0.36,44.39,7.11,0.77,0.82,1.88,42.23,30.59
28.61,27.83,63.48,53.50,22.19,46.42,51.99,90.50,0.44,0.33,40.63,3.38,0.48,0.87,1.11,39.20,40.02
30.47,28.67,68.60,50.02,18.62,46.08,50.41,91.83,0.35,0.53,43.15,5.40,0.42,1.17,0.94,42.14,28.24
31.53,28.60,74.62,48.66,19.93,45.46,52.68,96.26,0.41,0.36,44.02,3.36,0.52,0.78,1.00,43.19,27.72
35.07,28.95,56.97,44.28,17.27,42.91,49.98,89.12,0.44,0.40,38.18,3.15,0.43,0.84,1.08,39.47,36.73
27.74,26.48,63.93,45.73,17.81,44.17,51.42,91.24,0.34,0.32,41.03,3.32,0.40,0.69,1.05,41.31,27.66
29.42,25.80,61.88,47.59,16.67,42.68,50.26,90.57,0.32,0.45,39.61,5.44,0.36,0.71,0.93,41.88,26.97
27.73,24.99,60.46,44.79,16.89,42.07,50.67,93.09,0.32,0.27,39.07,3.18,0.40,0.68,1.00,43.36,39.34
29.14,28.51,67.41,45.42,21.52,44.07,51.05,89.49,0.32,0.33,41.79,3.34,0.43,0.68,0.85,38.33,26.31
28.79,31.61,69.49,50.78,19.41,40.00,47.31,90.31,0.40,0.39,43.88,4.03,0.45,0.30,1.03,39.57,32.36
29.31,28.28,68.36,45.88,18.78,44.71,50.17,93.75,0.69,0.56,43.85,3.85,0.71,1.12,1.60,39.62,41.33
27.92,29.32,66.87,45.36,19.23,47.56,54.28,91.77,0.33,0.41,41.94,2.45,0.53,0.89,1.09,41.64,28.87
31.08,35.81,66.38,45.65,18.73,45.03,51.78,88.95,0.43,0.38,43.17,3.39,0.43,0.61,0.81,40.15,26.17
33.79,27.58,66.83,46.61,19.92,50.33,52.37,92.97,0.36,0.29,43.05,3.19,0.34,0.64,1.03,40.14,39.54
32.22,26.99,70.31,44.69,30.63,45.43,50.55,87.15,0.40,0.26,44.75,3.17,0.52,0.78,0.97,37.80,26.42
27.86,28.83,66.44,47.88,17.45,43.07,51.72,91.31,0.27,0.29,42.42,3.19,0.41,0.69,1.12,39.41,29.05
29.32,27.38,69.12,47.68,18.52,44.24,50.84,94.84,0.29,0.30,41.31,4.76,0.34,0.71,0.98,43.56,39.69
