SELECT,SEND_HELLO,RECEIVE_HELLO,RANGE,CERT,AUTH,FINISH,PARALLEL_RANGING,TOTAL
41.39,49.77,0.28,7.42,51.67,52.34,0.15,29.69,203.01
21.03,48.10,0.20,4.45,41.10,37.24,0.17,21.11,152.28
17.32,46.41,0.30,4.59,39.70,36.79,0.22,21.11,145.32
19.05,45.11,0.13,3.59,42.83,36.35,0.18,32.47,147.24
16.88,39.95,0.28,4.03,41.59,34.98,0.15,20.79,137.85
20.61,46.87,0.27,4.74,41.00,36.95,0.14,21.69,150.59
17.22,47.60,0.30,4.77,40.60,35.64,0.16,33.14,146.29
18.74,46.73,0.29,5.45,39.69,35.85,0.19,19.74,146.94
19.40,47.54,0.22,5.33,39.63,36.11,0.17,21.73,148.40
16.66,40.23,0.22,4.09,40.60,38.05,0.28,33.23,140.13
21.43,48.50,0.41,4.71,43.80,44.53,0.19,21.72,163.56
20.91,45.52,0.34,4.90,44.61,40.06,0.20,21.65,156.54
26.24,46.78,0.43,5.49,51.38,41.24,0.21,33.04,171.77
24.85,47.00,0.32,4.63,51.32,36.07,0.31,30.34,164.50
22.63,48.02,0.37,5.17,44.75,44.74,0.32,21.21,166.00
26.76,46.03,0.34,4.53,42.55,36.93,0.25,33.16,157.39
21.54,45.41,0.13,2.72,45.80,38.46,0.15,21.29,154.22
19.98,47.93,0.33,5.51,43.71,39.87,0.21,21.62,157.54
24.60,46.86,0.37,4.55,45.53,38.74,0.54,32.77,161.19
24.11,47.87,0.41,5.25,44.44,39.58,0.23,21.75,161.88
25.59,47.47,0.40,5.09,43.58,42.23,0.21,21.28,164.57
22.12,46.86,0.36,4.63,41.86,40.15,0.28,33.34,156.26
19.04,46.30,0.38,4.72,43.70,40.50,0.24,21.62,154.88
26.91,45.09,0.34,4.82,45.32,42.56,0.27,23.82,165.31
21.97,48.06,0.36,3.95,44.28,37.10,0.27,32.73,155.99
28.14,47.46,0.34,5.38,53.13,39.84,0.32,22.82,174.61
23.79,47.96,0.39,5.19,41.87,38.23,0.17,21.15,157.60
20.27,47.37,0.31,5.94,42.79,37.61,0.20,31.91,154.50
20.59,48.53,0.59,4.60,51.67,35.99,0.09,21.45,162.05
22.96,48.35,0.42,4.43,41.53,39.02,0.23,22.68,156.94
17.69,48.49,0.37,5.14,51.50,41.17,0.35,34.99,164.72
23.04,49.49,0.37,5.67,42.49,40.74,0.24,21.27,162.05
24.02,44.96,0.42,4.16,44.37,38.99,0.28,23.47,157.20
19.53,45.88,0.39,5.08,46.94,41.31,0.37,33.52,159.50
20.42,46.88,0.42,5.05,42.89,38.34,0.32,22.01,154.31
19.76,48.65,0.44,5.01,53.14,41.28,0.24,22.60,168.52
21.04,50.24,0.35,6.15,43.06,41.18,0.23,30.38,162.26
21.16,48.71,0.36,5.78,40.33,37.97,0.24,21.60,154.56
21.07,47.55,0.37,6.14,44.01,39.65,0.23,21.23,159.02
27.12,44.71,0.33,4.85,44.84,39.10,0.22,31.11,161.18
19.48,44.44,0.26,4.50,47.88,44.17,0.18,20.84,160.90
